,name,id
0,Drag Me Down,3pDek256ZgaPcii9t9o4dv
1,Balam Pichkari,18e3XXYCv4Tx8uUl1mP3CN
2,Ilahi,5cgKosPPj5Cs9a2JQufUc1
3,Badtameez Dil,4eu27jAU2bbnyHUC3G75U8
4,Kabira,3jJ5HgLRNydtLRghjWVaCG
5,Subhanallah,0GQngE2rOYvlKwEQjTAsP8
6,Dilliwaali Girlfriend,3W1XPf7mvuQcWQB7U7MbTM
7,Ghagra,5YY8EsBdUYAg1NJQIvgCEj
8,Kabira (Encore),0aK5fBopIfyEf8dcaFq7yl
9,Ilahi (Reprise),5wdkKS3kWXBU9bklLVsAFs
10,Udd Gaye,5ZsAhuQ24mWHiduaxJqnhW
11,Jab Koi Baat - Recreated,43GfQ1SC17rBWiHkOtdwK8
12,Maan Meri Jaan,1418IuVKQPTYqt7QNJ9RXN
13,Chaand Baaliyan,0snQrp1VaY5Pj1YIHRJpRJ
14,Kamariya,5HJvDTnAaDWqhsE841I1QR
15,Love You Zindagi,6k3XXCE1ZzwevQlxf8dNaw
16,Senorita,3TAhWtQnpoL5Vl9VQPl9fU
17,Lonely Together (feat. Rita Ora),75NhhYjHO43mvZgYtnXgti
18,Meant to Be (feat. Florida Georgia Line),4e4fqjx0Izh4svvTef1z7e
19,Happy Now,4keoy2fqgwGnbWlm3ZVZFa
20,"Mood (Remix) feat. Justin Bieber, J Balvin & iann dior",6FuGJB290AQMAHTfjOYVaK
21,Entammede Jimikki Kammal,2n46SeXId7o9WvXTFgRO8B
22,Bijlee Bijlee,1iZLpuGMr4tn1F5bZu32Kb
23,"Mere Yaaraa (From ""Sooryavanshi"")",0tpwqQhdfJXRcUDSNRjb9O
24,I Ain't Worried,4h9wh7iOZ0GGn8QVp4RAOB
25,Manja,6o1o5SVSqVPLKAnZxRQz4x
26,Kar Gayi Chull,3BhjbaGeI7E0CiIjctfdD3
27,Naagin,7gAyu0od48mkaCw1laPKVC
28,Scars To Your Beautiful,42ydLwx4i5V49RXHOozJZq
29,Can I Be Him,0VhgEqMTNZwYL1ARDLLNCX
30,"Let Me Go (with Alesso, Florida Georgia Line & watt)",5Gu0PDLN4YJeW75PpBSg9p
31,Thoda Thoda Pyar,1GS0ShNbM4dpgmH7gaqIfe
32,Him & I (with Halsey),5k38wzpLb15YgncyWdTZE4
33,Mehrama,6cUOiOY5qh2FpIQWIYAd2h
34,Wellerman - Sea Shanty,54OBgO0Xwu20Jak9TMXbR7
35,Photograph,6CgNoAbFJ4Q4Id4EjtbXlC
36,Demons,5qaEfEh1AtSdrdrByCP7qR
37,Cold Water,4crR8rhNoWAa149MtZO2Ws
38,Soviet Connection — The Theme from Grand Theft Auto IV,5AAXvrvpClghVZIvk5wPqf
39,Memories,4cktbXiXOapiLBMprHFErI
40,What Is Love,5iV54XjRdRSTttMv8SNCy9
41,MOOD 4 EVA (feat. Oumou Sangaré),7oqftogUN82Q7VNy2TmTJW
42,Sunroof (feat. 24kGoldn),0u0eGWwyJmOVoG6ld4uNm0
43,Señorita,0TK2YIli7K1leLovkQiNik
44,Jalebi Baby,6GKGoi0FHzldk1ZRQoV1fv
45,One Dance,5ZKG94fnjiuMH5yrC5S9lS
46,Yahin Hoon Main,5SKVkR6VYFfz3GJ8BsnG06
47,Treat You Better,3QGsuHI8jO1Rx4JWLUh9jd
48,Play Date,4DpNNXFMMxQEKl7r0ykkWA
49,Same Beef,65c6VCikt7f5sAS1heoYQC
50,In the Name of Love,23L5CiUhw2jV1OIMwthR3S
51,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",20ZP3Om9DvDazXrNUC7WM2
52,Saibo,5E99hhV9umLN7KqTLpZPii
53,Arcade,1UReO1X8z8qcZRXXzly6FB
54,Timber,1zHlj4dQ8ZAtrayhuDDmkY
55,Ghost,2vRmKXtDX3acEWm1XnP47t
56,Numb,10xV5l9nhLvFpR8mqzs0bL
57,Apollo - Sped Up,1inNWPIdBuMIgKubp53Qm7
58,Beautiful Mistakes (feat. Megan Thee Stallion),5zFglKYiknIxks8geR8rcL
59,THATS WHAT I WANT,0e8nrvls4Qqv5Rfa2UhqmO
60,The Hills,7fBv7CLKzipRk6EC6TWHOB
61,Mood (feat. iann dior),4jPy3l0RUwlUI9T5XHBW2m
62,Blinding Lights,0VjIjW4GlUZAMYd2vXMi3b
63,Mera Safar,2AB7fsbG0eZJjDGile69CQ
64,Proper Patola,39ujbBjTwwqUFySaCYDMMT
65,Wavin' Flag - Coca-Cola® Celebration Mix,4nOygULhEuDO5ZBRNPFaso
66,Astronaut In The Ocean,6E90gq0KO6FYZVOXx8kCcC
67,Sorry Not Sorry,0yvPEnB032fojLfVluFjUv
68,Harleys In Hawaii,5nCthAh3jt4xKuLJAifAaR
69,Bones,0HqZX76SFLDz2aW8aiqi7G
70,This City,3H3r2nKWa3Yk5gt8xgmsEt
71,No Lie,48QmG1dfvMuYLxMPt7KSRA
72,Somebody To You,36M0NzkkJzr4ud9RYM5ynK
73,Levitating (feat. DaBaby),2i4Cd4c6uEjLZgdy2BQbZO
74,Under The Influence,71mHO4fFmS2Xu5XxZbcRND
75,Oo Antava Oo Oo Antava,3szxldqiYs7nkvtmooRod8
76,Starboy,7MXVkk9YMctZqd1Srtv4MB
77,"Character Dheela 2.0 (From ""Shehzada"")",24AfLjMMgO8AjhQw8l7y1L
78,Tere Pyaar Mein,2ZD4aIEepqZsdxPxLSuUhm
79,Meri Jaan,4iEGv5Ne6HuCkFCjzxdWQK
80,Sakhiyan2.0,2hTn8oS49IQULxAWs7hEBz
81,"O Bedardeya (From ""Tu Jhoothi Main Makkaar"")",0czcoKJbJt08NqKrvSbbz7
82,"Bhool Bhulaiyaa 2 Title Track (From ""Bhool Bhulaiyaa 2"")",2cbaCL38j8eUXBQjvLawET
83,"Ghodey Pe Sawaar (From ""Qala"")",1a8w8nlIyIhE2W1HIayKnl
84,"Galliyan Returns (From ""Ek Villain Returns"")",2eTkxblLeqdTSsb2ivafDX
85,Tu Aake Dekhle,5BKKKNwrebowaMoUdBaNby
86,"Raataan Lambiyan (From ""Shershaah"")",2rOnSn2piaqLAlYjtfUBlY
87,Baarish Mein Tum,4xA7TokHI9HTapV4wO3W5I
88,"Besharam Rang (From ""Pathaan"")",0CtZpaOhtzvLV3FfcsVpQo
89,"Doobey (From ""Gehraiyaan"")",7MBqVOzb8C3f0FXr2LBLiq
90,Filhaal2 Mohabbat,576v1keY82NOPITMNu0wD2
91,Ektarfa,70wFZWY6cKFxp3Qcq8uxH4
92,"Srivalli (From ""Pushpa The Rise Part - 01"")",2YmXGUx32C3CUEgcAyHcGf
93,Kahani Suno 2.0,4VsP4Dm8gsibRxB5I2hEkw
94,"Show Me The Thumka (From ""Tu Jhoothi Main Makkaar"")",1t39FBb0zsKv5krZaqZKCB
95,Black Magic,6rmXhRIemCTPyMYZRDN7Qg
96,Matkar Maya Ko Ahankar,18dts4OqWOQTGFlMTGodkk
97,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",285HeuLxsngjFn4GGegGNm
98,Tukur Tukur,5swv4r5dYNHhsL54jGqmn8
99,Main Rang Sharbaton Ka,1yYM7dY6wSJFp5qmxPRLu1
100,Calm Down (with Selena Gomez),0WtM2NBVQNNJLh6scP13H8
101,"Naacho Naacho (From ""Rrr"")",208sMwgVcaFt2mT79Df1KG
102,"Husn Parcham (From ""Zero"")",7dU8HTgtvhyOUqgKumTUKR
103,Believer,2sU9EjevkrU9OkPZudvFNN
104,Heat Waves,3USxtqRwSYz57Ewm6wWRMp
105,Name Tag,54fFQDKCPb0NO6WRnAlLfV
106,Call You Mine,6J2pC3j9WF4tVJo4mEHZdn
107,"Najaa (From ""Sooryavanshi"")",09vHbIezp9NP31CZWysk3v
108,Firework,1mXuMM6zjPgjL4asbBsgnt
109,Million Ways,3wuR0YSNdT9rgWfFi1lctv
110,Kun Faya Kun,7F8RNvTQlvbeBLeenycvN6
111,Gallan Goodiyaan,7zVaOOcSGe6o6ZIOEAF68C
112,MagSafe,1CZcbZ3MTA7JOyt5fQrcv4
113,Dance Meri Rani,2Og3TvRiujRDfgnkmgaOhW
114,Sad Forever,5kM7vJccMgGB5i7YlT4BtM
115,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",4w8niZpiMy6qz1mntFA5uM
116,Main Badhiya Tu Bhi Badhiya,05gTJCRktC20gsp37kNSTH
117,Fikar Not,7oRA6vzbUl5brLK7GDcKOJ
118,"Love Me Like You Do - From ""Fifty Shades Of Grey""",3zHq9ouUJQFQRf3cm1rRLu
119,Little Do You Know,1bVs38kkrOosMaQCdxna9d
120,"Deewangi (Rainbow Mix)[Remix By Dj Kiran,Dj G]",07RJC58SXjGzBODPOZZq0x
121,Deewangi Deewangi,7emLx4rVwr0tPyjktu7A7U
122,Ajab Si,5FXMRdJjKq1BIX4e8Eg9mK
123,Main Agar Kahoon,3WVHfTd7xz9VPYJQFpOp8j
124,"Jaadui (From ""Tu Jhoothi Main Makkaar"")",4nriYsKSq1VmiamjZOB4Tp
125,"Duniyaa (From ""Luka Chuppi"")",2tjWCe2W7sgvS3C8NHcdtI
126,Show Me Love,7rfiXyFb5M9BqdkvKvVEiB
127,Ambarsariya-Suit Suit,2VdzADGdeTlyqFBeSIFDKt
128,Dancing in The Dark,4QCVvLRNP45j83odN8Gzml
129,Dilliwaliye,1AkyGhZWPOf9VKA1pTmJNn
130,Daily Daily,3rO4H57XVaVvihdUV2kt4n
131,Waalian,29NyItj5L18Qn4QlPSeRE3
132,Don't Look Back,3w5GBBZkHMBQ7NgpdGJ9Xx
133,"Kaise Hua (From ""Kabir Singh"")",5w0Xpt2YHT2Y3z3e4UUJP7
134,Shayad,1smFN2CLqGROu0J0UyvDfL
135,"NCR Ke (Original Song from ""NCR Days"")",0PHCoJBQyXpTci3lfy7i1s
136,Lover,0XwRlvv3KlOu4HWlOH34XG
137,Despacito - Remix,50sDAJ1OV0vDfQP91RrAT7
138,Standing When It All Falls Down (feat. Roshi) - Official NiP Team Song,0wyTaLdr1Rc0tMPpMTPUWD
139,They Don't Know About Us,6M31fPFCYB8Job3MCjjrDV
140,Bad Habits,0UN3rHI3JTM0cuX1qLOTdF
141,Mirchi,5KkCsYIgMK5H7Ih31Dnd2Q
142,MONTERO (Call Me By Your Name),67BtfxlNbhBmCDR2L2l8qd
143,Daryaa,5WJ7hrAsgcfncN8zussoFq
144,All We Know,65Qe0x9oCbs9pNJc6QBFx7
145,Safarnama,6w458kA8WOAIZr1ublxnK9
146,Sajdaa,395gJWcJQK0C3GJfHAn7f6
147,Subha Hone Na De,6WediUhXDfm8FR3wlM0r3G
148,Be Kind (with Halsey),3Z8FwOEN59mRMxDCtb8N0A
149,2step (feat. Armaan Malik),1vf09n9QoDVWhBImRgQQyG
150,Maan Meri Jaan (Afterlife),0Sy4U9bS9FG8d4NH1Kfvhq
151,STAY (with Justin Bieber),6J1mdhEN8U5943JvzO2RNK
152,Dandelions,6fhG2KJgwO7CrNflRaRmvp
153,Left and Right (Feat. Jung Kook of BTS),0mBP9X2gPCuapvpZ7TGDk3
154,Light Switch,3AVXwaOGCEL8cmBecfcsFJ
155,Into Your Arms (feat. Ava Max),0b11D9D0hMOYCIMN3OKreM
156,Let Me Down Slowly,2qxmye6gAegTMjLKEBoR3d
157,MONEY,0g4fzRkbLeCDUCoe5iUOcf
158,Levitating,39LLxExYz6ewLAcYrzQQyP
159,Bhool Bhulaiyaa 2 Title Track,2cbaCL38j8eUXBQjvLawET
160,"Nadiyon Paar (Let the Music Play Again) (From ""Roohi"")",2PEo8JQ48mfEv8a2HLqDvt
161,"Maine Pi Rakhi Hai (From ""Tu Jhoothi Main Makkaar"")",3rQDMaRia4W2M0Fliv9J4I
162,Sutta,55FuzGP2FX0F0AowXYp86G
163,Kaali Teri Gutt,2LQNu1QEkmCystO6qqnrVs
164,Shut Up,76cy1WJvNGJTj78UqeA5zr
165,Dotara,1xm3sOPcACkGMzxG3HhMDT
166,Sanak,3SiQsAVS3CDJQzWPRyX1XP
167,"Chedkhaniyan (From ""Shehzada"")",6EKY8rpjaBxxB0WbXJhedU
168,"Kudi Chamkeeli (From ""Selfiee"")",703UsTGRCq2nttht4ib42D
169,"Pyaar Hota Kayi Baar Hai (From ""Tu Jhoothi Main Makkaar"")",2vPrBucKCfKmafHhSfJ2pt
170,"Munda Sona Hoon Main (From ""Shehzada"")",0NODNDsiY0sK5P0TnmDMSE
171,Unstoppable,1xNJMrHwYGKX4esmYxkPUY
172,"Current Laga Re (From ""Cirkus"")",0z8wIFS6LUp2iz6kajcID7
